"Hugo Symbol","Entrez Gene ID","OncoKB Annotated","Is Oncogene","Is Tumor Suppressor Gene"
"EIF3E",3646,"No","No","No"
"ELK4",2005,"No","No","No"
"ELN",2006,"No","No","No"
"ELP2",55250,"No","No","No"
"EPHB4",2050,"No","No","No"
"ERC1",23085,"No","No","No"
"ETS1",2113,"No","No","No"
"EXOSC6",118460,"No","No","No"
"EXT1",2131,"No","No","No"
"EXT2",2132,"No","No","No"
"FAF1",11124,"No","No","No"
"FAT4",79633,"No","No","No"
"FBXO31",79791,"No","No","No"
"FES",2242,"No","No","No"
"FGF12",2257,"No","No","No"
"FIP1L1",81608,"No","No","No"
"FLYWCH1",84256,"No","No","No"
"FNBP1",23048,"No","No","No"
"FRS2",10818,"No","No","No"
"GABRA6",2559,"No","No","No"
"GADD45B",4616,"No","No","No"
"GATA4",2626,"No","No","No"
"GATA6",2627,"No","No","No"
"GMPS",8833,"No","No","No"
"GOLGA5",9950,"No","No","No"
"GOPC",57120,"No","No","No"
"GPC3",2719,"No","No","No"
"GRM3",2913,"No","No","No"
"GTSE1",51512,"No","No","No"
"H3C15",333932,"Yes","No","No"
"H3P6",440926,"Yes","No","No"
"HIRA",7290,"No","No","No"
"HNRNPA2B1",3181,"No","No","No"
"HOOK3",84376,"No","No","No"
"HOXA3",3200,"No","No","No"
"HSD3B1",3283,"No","No","No"
"IKBKB",3551,"No","No","No"
"IKZF2",22807,"No","No","No"
"IL2",3558,"No","No","No"
"IL6ST",3572,"No","No","No"
"INPP5D",3635,"No","No","No"
"IRF2",3660,"No","No","No"
"IRS4",8471,"No","No","No"
"JAZF1",221895,"No","No","No"
"KAT6B",23522,"No","No","No"
"KCNJ5",3762,"No","No","No"
"KDM2B",84678,"No","No","No"
"KDM4C",23081,"No","No","No"
"KEL",3792,"No","No","No"
"KLF2",10365,"Yes","No","Yes"
"KLF3",51274,"Yes","No","Yes"
"KLF6",1316,"No","No","No"
"KLK2",3817,"No","No","No"
"KNL1",57082,"No","No","No"
"KTN1",3895,"No","No","No"
"LARP4B",23185,"Yes","No","No"
"LCP1",3936,"No","No","No"
